0,1
28804,Male
4232,October 1986 (M35)
20619,June 1995 (M30)
4235,April 1991 (M30)
4240,March 1985 (M40)
37009,June 1991 (L30)
4242,June 1989 (M35)
94361,Female
94362,Female
20634,March 1994 (M30)
45211,January 2002 (MN4)
12457,July 1990 (M30)
4268,January 1990 (L35)
37039,January 2002 (MN4)
45236,January 2001 (MSA)
4297,September 1987 (M35)
4299,April 1992 (L30)
78035,May 2001 (MSA)
4308,April 1992 (M30)
78037,September 1995 (LSA)
4312,January 1988 (M35)
4313,February 1991 (L30)
20699,December 1985 (L35)
4330,June 1991 (M30)
4355,August 1991 (M30)
4364,August 1992 (M30)
28949,March 1996 (LSA)
45337,January 2002 (LN4)
45340,2004 (LN1)
28966,September 1998 (LSA)
4408,April 1991 (L30)
29006,December 1996 (MSA)
29011,December 1998 (MSA)
20823,January 1993 (L30)
29022,May 1999 (LSA)
69992,November 2004 (LN1)
78184,February 1999 (MSA)
12690,November 1993 (M30)
29077,September 2000 (MSA)
12698,February 1994 (M30)
4509,October 1988 (M35)
29103,July 1998 (LSA)
29106,January 2000 (MSA)
4541,August 1989 (M35)
4544,February 1988 (M35)
12739,December 1993 (M30)
53700,February 2001 (MSA)
53702,November 2000 (MSA)
20937,July 1995 (LSA)
29139,December 2000 (LSA)
4564,September 1990 (L30)
53728,October 2002 (LN3)
4579,March 1990 (L35)
53731,July 2003 (LN2)
53733,July 2002 (LN3)
45541,January 2003 (MN3)
70119,April 2002 (MN4)
12776,December 1992 (M30)
4585,April 1990 (L35)
4586,May 1985 (L40)
4589,August 1987 (L35)
12787,July 1992 (M30)
37370,Female
45571,March 2006 (MA2)
4614,November 1989 (L35)
45575,May 1998 (LSA)
20999,December 1997 (MSA)
61968,October 2006 (LA1)
4625,September 1991 (L30)
21008,September 1997 (MSA)
12821,October 1992 (L30)
21013,August 1998 (MSA)
21018,September 1997 (MSA)
12828,July 1993 (M30)
12830,May 1994 (L30)
21025,October 1998 (LSA)
4649,September 1987 (L35)
12849,February 1994 (L30)
29244,July 1997 (LSA)
29245,February 1988 (L35)
29251,August 1997 (MSA)
29265,April 1987 (M35)
29266,May 1989 (M35)
12881,February 1990 (M35)
29275,July 1990 (L30)
4706,July 1993 (M30)
29285,December 1989 (L35)
12901,June 1992 (M30)
4712,August 1992 (L30)
70249,October 1991 (L30)
12921,October 1992 (M30)
12925,May 1993 (M30)
4735,July 1986 (M35)
94848,January 2002 (MN4)
12934,July 1993 (M30)
37516,Male
29328,October 1989 (M35)
37520,Male
29340,February 1998 (LSA)
4768,November 1991 (M30)
4774,July 1990 (L30)
4786,March 1990 (M35)
45756,November 2001 (MN4)
4797,May 1985 (M40)
53951,March 2002 (MN4)
45760,May 1994 (M30)
4811,June 1989 (M35)
70351,November 2004 (LN1)
29401,April 1991 (M30)
4826,August 1993 (M30)
70364,December 2006 (LA1)
29406,February 1993 (L30)
13024,August 1988 (M35)
4833,March 1992 (L30)
45793,December 2004 (MN1)
37610,June 1996 (LSA)
70384,September 2006 (LA1)
13040,September 1994 (M30)
4850,February 1986 (M35)
70388,December 2007 (LB2)
4853,April 1991 (L30)
29434,January 1999 (LSA)
29455,January 2001 (LSA)
29456,October 1995 (LSA)
45841,September 2000 (MSA)
4883,January 1989 (L35)
13077,May 1993 (L30)
29466,March 1997 (MSA)
13085,January 1995 (L30)
4894,December 1990 (M30)
45876,August 1993 (L30)
21300,November 1995 (LSA)
54077,February 1991 (M30)
29502,June 1999 (LSA)
4925,January 1993 (M30)
29513,April 1992 (M30)
45899,July 2001 (MN4)
21328,December 1996 (LSA)
21336,December 1992 (M30)
37744,July 1999 (LSA)
37749,Female
70517,August 2006 (MA1)
45954,November 1989 (M35)
37763,October 1999 (MSA)
37762,Male
21383,August 1997 (LSA)
29576,September 2000 (MSA)
29577,December 2000 (MSA)
5003,June 1990 (M35)
5007,November 1994 (M30)
5008,November 1994 (M30)
13208,July 1994 (L30)
37786,October 1999 (LSA)
45982,February 2001 (LSA)
45986,March 2003 (LN3)
45990,February 2005 (LN1)
86951,November 2008 (LB1)
5040,May 1992 (L30)
37815,April 2001 (LSA)
13239,July 1994 (M30)
13240,February 1993 (M30)
37822,February 2003 (LN3)
37825,April 1999 (MSA)
86982,April 2007 (MA1)
5064,October 1989 (M35)
5065,December 1988 (M35)
5067,February 1987 (L35)
78800,April 1997 (MSA)
13274,September 1994 (L30)
29663,September 2000 (LSA)
37856,April 2001 (MSA)
78821,May 1991 (L30)
46057,October 1999 (LSA)
70634,July 2005 (MA2)
70641,December 2004 (LN1)
46065,November 1999 (MSA)
37876,August 2002 (MN3)
13316,March 1995 (L30)
21511,March 1996 (MSA)
54287,December 2001 (MN4)
21520,May 1996 (MSA)
37905,December 1999 (MSA)
21522,July 1996 (MSA)
54288,September 2003 (MN2)
21525,April 1996 (MSA)
54295,June 2005 (LN1)
46113,May 2004 (LN2)
21540,September 1996 (LSA)
21549,December 1996 (LSA)
46127,February 2004 (MN2)
5169,July 1992 (L30)
5170,August 1987 (L35)
13363,October 1993 (M30)
13369,February 1993 (M30)
