ID,Index,Rank,Family Name,Given Name,Country,Time,Date,Location,Event,Gender,Year,Distance
11169,9726,6,Dijs,Wesly,NED,"1.42,77",2024-01-27,Salt Lake City (USA),ISU World Cup Speed Skating #5,m,2023,1500
19465,9727,7,Ichinohe,Seitaro,JPN,"1.43,24",2024-01-27,Salt Lake City (USA),ISU World Cup Speed Skating #5,m,2023,1500
14920,9728,8,Roest,Patrick,NED,"1.43,37",2024-03-10,Inzell (GER),World Allround Championships 2024,m,2023,1500
6662,9729,9,Trentini,Alessio,ITA,"1.43,48",2024-01-27,Salt Lake City (USA),ISU World Cup Speed Skating #5,m,2023,1500
46368,9730,10,Prins,Tim,NED,"1.43,53",2024-01-27,Salt Lake City (USA),ISU World Cup Speed Skating #5,m,2023,1500
30732,9731,11,Swings,Bart,BEL,"1.43,62",2024-01-27,Salt Lake City (USA),ISU World Cup Speed Skating #5,m,2023,1500
38329,9732,12,Eitrem,Sander,NOR,"1.43,81",2024-01-27,Salt Lake City (USA),ISU World Cup Speed Skating #5,m,2023,1500
52278,9733,12,Yamada,Kazuya,JPN,"1.43,81",2024-01-27,Salt Lake City (USA),ISU World Cup Speed Skating #5,m,2023,1500
6725,9734,14,Gélinas-Beaulieu,Antoine,CAN,"1.43,82",2023-10-07,Calgary (CAN),Canada - Long Track Championships 2024,m,2023,1500
22980,9735,15,Chung,Jae-Won,KOR,"1.43,90",2024-01-27,Salt Lake City (USA),ISU World Cup Speed Skating #5,m,2023,1500
6263,9736,16,Pedersen,Sverre Lunde,NOR,"1.43,97",2024-03-10,Inzell (GER),World Allround Championships 2024,m,2023,1500
78184,9737,17,Di Stefano,Daniele,ITA,"1.43,99",2024-02-18,Calgary (CAN),World Single Distances Championships 2024,m,2023,1500
14959,9738,18,Lehman,Emery,USA,"1.44,03",2024-01-19,Salt Lake City (USA),ISU Four Continents Speed Skating Championships 2024,m,2023,1500
23771,9739,19,Engebråten,Hallgeir,NOR,"1.44,09",2024-03-10,Inzell (GER),World Allround Championships 2024,m,2023,1500
98866,9740,20,An,Hyun-Jun,KOR,"1.44,18",2024-01-27,Salt Lake City (USA),ISU World Cup Speed Skating #5,m,2023,1500
10995,9741,21,Dombek,Hendrik,GER,"1.44,25",2024-01-27,Salt Lake City (USA),ISU World Cup Speed Skating #5,m,2023,1500
14886,9742,22,De Haître,Vincent,CAN,"1.44,30",2024-01-27,Salt Lake City (USA),ISU World Cup Speed Skating #5,m,2023,1500
66396,9743,23,Sasaki,Shomu,JPN,"1.44,36",2024-03-10,Inzell (GER),World Allround Championships 2024,m,2023,1500
42662,9744,24,Nonomura,Taiyo,JPN,"1.44,37",2024-01-27,Salt Lake City (USA),ISU World Cup Speed Skating #5,m,2023,1500
30801,9745,25,Kim,Min-Seok,KOR,"1.44,39",2023-09-23,Calgary (CAN),2023 Fall Classic,m,2023,1500
36209,9746,26,Kojima,Ryota,JPN,"1.44,40",2024-01-19,Salt Lake City (USA),ISU Four Continents Speed Skating Championships 2024,m,2023,1500
63000,9747,27,Emele,Stefan,GER,"1.44,41",2024-02-18,Calgary (CAN),World Single Distances Championships 2024,m,2023,1500
35260,9748,28,Wu,Yu,CHN,"1.44,60",2024-01-27,Salt Lake City (USA),ISU World Cup Speed Skating #5,m,2023,1500
26117,9749,29,Langelaar,Tyson,CAN,"1.44,63",2023-12-02,Calgary (CAN),2023 CanAm International,m,2023,1500
48138,9750,30,Vosté,Mathias,BEL,"1.44,65",2024-02-18,Calgary (CAN),World Single Distances Championships 2024,m,2023,1500
51667,9751,31,La Rue,David,CAN,"1.44,66",2023-10-07,Calgary (CAN),Canada - Long Track Championships 2024,m,2023,1500
7135,9752,32,Krol,Thomas,NED,"1.44,77",2023-10-28,Heerenveen (NED),World Cup Kwalificatietoernooi,m,2023,1500
6537,9753,32,Bosker,Marcel,NED,"1.44,77",2024-01-27,Salt Lake City (USA),ISU World Cup Speed Skating #5,m,2023,1500
60269,9754,34,McDermott-Mostowy,Conor,USA,"1.44,80",2024-01-27,Salt Lake City (USA),ISU World Cup Speed Skating #5,m,2023,1500
23493,9755,35,Johansson,Allan Dahl,NOR,"1.44,83",2024-01-27,Salt Lake City (USA),ISU World Cup Speed Skating #5,m,2023,1500
30748,9756,36,Odor,Gabriel,AUT,"1.44,90",2024-01-27,Salt Lake City (USA),ISU World Cup Speed Skating #5,m,2023,1500
61394,9757,37,Belloir,Mathieu,FRA,"1.44,91",2024-01-27,Salt Lake City (USA),ISU World Cup Speed Skating #5,m,2023,1500
40349,9758,38,Dawson,Casey,USA,"1.45,01",2024-01-19,Salt Lake City (USA),ISU Four Continents Speed Skating Championships 2024,m,2023,1500
23347,9759,39,Hollaar,Louis,NED,"1.45,02",2023-10-28,Heerenveen (NED),World Cup Kwalificatietoernooi,m,2023,1500
22597,9760,40,Yamada,Masaya,JPN,"1.45,04",2024-01-27,Salt Lake City (USA),ISU World Cup Speed Skating #5,m,2023,1500
17293,9761,41,Morozov,Dmitry,KAZ,"1.45,05",2024-01-27,Salt Lake City (USA),ISU World Cup Speed Skating #5,m,2023,1500
23747,9762,42,Hoolwerf,Bart,NED,"1.45,12",2023-12-29,Heerenveen (NED),Netherlands - Single Distances Championships 2024,m,2023,1500
35048,9763,43,Wennemars,Joep,NED,"1.45,17",2023-10-28,Heerenveen (NED),World Cup Kwalificatietoernooi,m,2023,1500
26012,9764,44,Betti,Francesco,ITA,"1.45,18",2024-01-27,Salt Lake City (USA),ISU World Cup Speed Skating #5,m,2023,1500
31121,9765,45,Tsuchiya,Riku,JPN,"1.45,27",2024-01-27,Salt Lake City (USA),ISU World Cup Speed Skating #5,m,2023,1500
54487,9766,46,Kasahara,Kotaro,JPN,"1.45,36",2024-01-19,Salt Lake City (USA),ISU Four Continents Speed Skating Championships 2024,m,2023,1500
