ID,Index,Rank,Family Name,Given Name,Country,Time,Date,Location,Event,Gender,Year,Distance
,,Rank,Family Name,Given Name,Nationality,Time,Date,Location,Event,Gender,Year,Distance
1309.0,122.0,21,Boer,Margot,NED,"1.16,33",2015-02-28,Astana (KAZ),World Sprint Championships 2015,f,2014,1000
1195.0,123.0,22,Lee,Sang-Hwa,KOR,"1.16,40",2014-12-06,Berlin (GER),ISU World Cup,f,2014,1000
4299.0,124.0,23,Kamminga,Manon,NED,"1.16,66",2014-10-11,Inzell (GER),International Season Opening,f,2014,1000
22368.0,125.0,24,de Neeling,Sanneke,NED,"1.16,68",2014-11-02,Heerenveen (NED),Netherlands - Single Distances Championships 2015,f,2014,1000
1346.0,126.0,25,de Vries,Linda,NED,"1.16,74",2015-02-28,Calgary (CAN),Time Trials,f,2014,1000
8510.0,127.0,26,Ianculescu,Alexandra,CAN,"1.16,75",2014-10-26,Calgary (CAN),World Cup Trials,f,2014,1000
4774.0,128.0,27,van Hemert,Roxanne,NED,"1.16,84",2014-11-02,Heerenveen (NED),Netherlands - Single Distances Championships 2015,f,2014,1000
1623.0,129.0,28,Kikuchi,Ayaka,JPN,"1.16,87",2014-12-30,Nagano (JPN),Japan - Sprint Championships 2015,f,2014,1000
8424.0,130.0,29,Takagi,Nana,JPN,"1.16,92",2014-12-29,Nagano (JPN),Japan - Sprint Championships 2015,f,2014,1000
4043.0,131.0,29,Hanly,Kate,CAN,"1.16,92",2015-03-19,Calgary (CAN),2015 Olympic Oval Finale / Canada Cup 4,f,2014,1000
50954.0,132.0,31,Park,Seung-Hi,KOR,"1.16,93",2014-12-06,Berlin (GER),ISU World Cup,f,2014,1000
4853.0,133.0,32,Smit,Janine,NED,"1.16,94",2014-11-02,Heerenveen (NED),Netherlands - Single Distances Championships 2015,f,2014,1000
343.0,134.0,33,Skokova,Yuliya,RUS,"1.16,96",2014-10-30,Moscow,Moscow Open Cup / World Cup Qualifier,f,2014,1000
